"Timestamp","Whom do you consider an ideal scientist?","What should be the most accurate metrics to judge the caliber of a scientist?","What according to you should be the minimum educational qualification one should have to be considered a scientist?","What do you think should be the most developed trait which one should have to become a successful scientist?","What is the first thought which you have when you hear the word 'Scientist'","Why do you think people want to be a scientist?","What should be a scientist’s first priority?","Do you think that scientists should be allowed to conduct unethical experiments for the sake of science","Should a scientist prioritize science over social ethics and social norms for the sake of greater good","What do you think is the most important stimulus to a scientist","How  do scientists help common people?","Are scientists more biased towards theoretical aspects of science rather than the practical side of it.","Do you think that scientists are slowly getting replaced by engineers and doctors as they are more focused towards the theoretical aspect of science. "
"2021/11/28 3:34:59 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 3:38:48 PM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Does Not matter","Hardworking","Someone who is busy to discover the next big thing and make this world a better place.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 4:12:46 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Dream of a better future(Colonizing Mars for example)","They answering the great mysteries of the universe","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 4:13:30 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","It sounds fancy and people think that you are very smart","Development of the subject itself","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 4:29:24 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Innovative","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 4:33:27 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Doctorate","Hardworking","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 4:34:59 PM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 5:00:52 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 5:01:15 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","It sounds fancy and people think that you are very smart","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 5:05:54 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 5:57:45 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Post Graduate","Creative","A normal person with high motivation and extreme love for science.","It sounds fancy and people think that you are very smart","Development of the subject itself","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 5:57:56 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Doctorate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 6:06:09 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 6:12:18 PM GMT+5:30","Someone who helps the society to utilize science","His bank-balance /social status/fame","10th pass","Hardworking","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","None of the above","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 6:21:11 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 6:23:36 PM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 7:08:57 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Graduate","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 7:55:48 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:12:41 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","None of the above","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:14:45 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Doctorate","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:35:52 PM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Post Graduate","Foresight","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:36:29 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Doctorate","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:38:19 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:41:38 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Post Graduate","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:42:21 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Doctorate","High motivation","Some highly educated folk.","Love for the subject","Development of the society","I choose not to answer this question","No","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:42:30 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Doctorate","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:44:44 PM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:46:49 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The impact which he/she is making on the society","Does Not matter","Creative","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","It sounds fancy and people think that you are very smart","Development of the subject itself","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:50:10 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:55:46 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:55:51 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:56:15 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Doctorate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","Dream of a better future(Colonizing Mars for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:56:18 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Graduate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:57:36 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Graduate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:57:39 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","I choose not to answer this question","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:57:58 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:58:57 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:58:58 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Post Graduate","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","It sounds fancy and people think that you are very smart","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:00:40 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:01:05 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Graduate","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:01:19 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Graduate","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:05:38 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:05:57 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","Number of good publications and patents","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:06:02 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","His bank-balance /social status/fame","Post Graduate","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Social Status and financial stability","Development of the subject itself","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:06:57 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","Yes, it will help science a lot and widen our research field.","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:10:36 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Foresight","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:10:55 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:11:24 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","None of the above","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:12:35 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:12:53 PM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Does Not matter","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:13:01 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:13:50 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:16:17 PM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","12th pass","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Love for the subject","Development of the society","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:16:22 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:17:15 PM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Graduate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:17:30 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","None of the above","Development of the society","Yes, it will help science a lot and widen our research field.","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:17:40 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Post Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:18:35 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","Number of good publications and patents","Post Doctorate","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:19:44 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Hardworking","Some highly educated folk.","None of the above","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:21:20 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Innovative","Some highly educated folk.","Desire to make great discoveries and to solve  global problems","Development of the society","Yes, it will help science a lot and widen our research field.","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:21:35 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","None of the above","Development of the society","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:21:55 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","No","Dream of a better future(Colonizing Mars for example)","They answering the great mysteries of the universe","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:24:17 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Post Graduate","Innovative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:25:08 PM GMT+5:30","Someone who helps the society to utilize science","Number of good publications and patents","Doctorate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:25:29 PM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:26:43 PM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Post Doctorate","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 9:27:01 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Doctorate","Foresight","Someone who is busy to discover the next big thing and make this world a better place.","Social Status and financial stability","Developing ones knowledge","I choose not to answer this question","Yes","Dream of a better future(Colonizing Mars for example)","They develop new technologies and gadgets to make our life easy","No","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:27:31 PM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Post Doctorate","Intelligence","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","I choose not to answer this question","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 9:28:09 PM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","Number of good publications and patents","Post Graduate","Intelligence","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
